0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
14,0.13570034378303744,0.26786800341151656,0.3082238443952221,0.15307113878711612,0.07443394985194578,0.03619900719297515,0.01456921864817887,0.018994933805125656,0.015310356676836227,0.009850955116268654,0.00990002275376252,0.00899323114262587,0.007263805884092049,0.004865342614391857,0.0022912419684636195,2.5153490401663703e-17,2.5153490401663703e-17,0.00015738792998035164,0.00015738792998035164,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17
15,0.093195246,0.08271136800000001,0.08939553450000001,0.11125150600000003,0.10776747750000001,0.129001097,0.13524705,0.08178287000000002,0.03750932200000002,0.02363444950000002,0.02149264450000002,0.016980899500000014,0.016060045500000016,0.012160832500000017,0.011042549500000016,0.012569940000000016,0.009831798500000015,0.009949093500000014,0.010330383500000016,0.010619181500000015,0.010883006000000015,0.008359023500000014,0.003842565000000015,0.0009797385000000144,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17,1.431146867680866e-17
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0757824835,0.2555159165,0.224435795,0.085224684,0.07671081599999999,0.088997834,0.1011959075,0.07026156549999998,0.021874997999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.009988,0.005994,0.002,0.0054248000000000005,0.0054248000000000005,0.002,0.0054248000000000005,0.0088496,0.0088496,0.0093496,0.03497345,0.06578215,0.14630295,0.19906005,0.1460127,0.10061945,0.06522125000000001,0.048672550000000016,0.04867255000000001,0.039823,0.022123899999999995,0.007424799999999995,0.005999999999999994,0.006999999999999995,0.003999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.002785674,0.0021467875,0.0015658310000000002,0.0028252570000000003,0.005615220500000001,0.0240731915,0.030370381000000002,0.0158199515,0.0117044315,0.022748903499999997,0.06327443149999999,0.06249961849999999,0.128884585,0.22849158849999998,0.16853590749999997,0.08041181349999997,0.044894079999999975,0.03145419199999998,0.02280985599999998,0.016750915999999977,0.014495802499999978,0.00747175049999998,0.0029400869999999793,0.0020969499999999794,0.0006274274999999794,0.0006609409999999794,0.0010809579999999795,0.0011453779999999795,0.0007534769999999795,0.0007285939999999795,0.0007044599999999795,0.0006741659999999793,0.0003502259999999793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.002,0.004,0.004,0.004,0.004,0.004,0.009520949999999999,0.016241899999999997,0.0232148,0.0302078,0.04187874999999999,0.18385244999999997,0.2591179,0.13340700000000003,0.07548840000000004,0.060953500000000035,0.02725580000000003,0.03558145000000004,0.03448845000000004,0.017441900000000034,0.010220950000000036,0.004407000000000036,0.004407000000000036,0.0030000000000000356,0.004407000000000036,0.002907000000000036,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17,3.599551212651875e-17
20,0.0,0.0,0.018917051,0.037975576,0.054738254,0.06891987699999999,0.05760179149999999,0.045213664999999986,0.04327084449999999,0.03878734499999999,0.02902946499999999,0.02119478349999999,0.01572905699999999,0.01678807399999999,0.02231936449999999,0.03622419199999999,0.05376455699999999,0.06875391799999998,0.07128869749999998,0.06123868199999998,0.05318302249999998,0.053635743999999985,0.050705307499999984,0.038502460999999974,0.029452588499999977,0.012765682999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0025,0.005,0.004999999999999999,0.009999999999999998,0.022205899999999997,0.04411765,0.058823499999999994,0.0735294,0.06882355,0.03991179999999999,0.037355899999999984,0.044267649999999985,0.04711764999999998,0.04641174999999999,0.036411749999999986,0.029705899999999986,0.04211764999999999,0.07152939999999999,0.0735294,0.04911745,0.0377097,0.03150399999999999,0.02649999999999999,0.025049999999999985,0.023049999999999984,0.020989999999999988,0.01885499999999999,0.00886499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.009222460086660897,0.021702936300672,0.05288670268173908,0.08182686226694515,0.11150533637264792,0.11994031633100519,0.09067501086539888,0.07139330178296771,0.04824248557947238,0.049873455113231796,0.060104082188631794,0.04593230333914367,0.038804807840932265,0.036706092119912756,0.0348050410411128,0.030697694049953504,0.020838543637383324,0.025525139947311176,0.02417089518573918,0.010018673767894684,0.00396383037710679,0.004980645014976748,0.004380377899976243,0.0014025799659855235,0.0004004262431983438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.013561591000000001,0.0176654295,0.021098703000000003,0.033875020000000006,0.05002858000000001,0.05225894800000001,0.059480525500000006,0.06446156700000001,0.05573617500000001,0.04452861250000001,0.04285153500000001,0.05034896600000001,0.059780052000000014,0.06768314950000003,0.06327149700000004,0.04506589000000003,0.03968222200000003,0.04794837500000003,0.03682212000000003,0.021546455500000027,0.020433899000000026,0.019452411500000023,0.014710644000000021,0.014086439000000023,0.011590628500000026,0.010455511500000025,0.007705545000000025,0.004840792000000025,0.004887757000000025,0.0012750700000000248,0.001251327000000025,0.004507362000000025,0.003887993500000025,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17,2.5153490401663703e-17
