Purpose,Mode,Origin,Destination,Time Period,Activity Map,Arrival Map
At Work,DT,WHR,NON-NYC,Other,14,60
At Work,DT,WHR,STATEN ISLAND,AM Peak,14,60
At Work,DT,WHR,STATEN ISLAND,Other,14,60
At Work,DT,WHR,WHR,AM Peak,14,60
At Work,DT,WHR,WHR,Other,14,60
At Work,SR,MANHATTAN,MANHATTAN,AM Peak,12,35
At Work,SR,MANHATTAN,MANHATTAN,Other,12,35
At Work,SR,MANHATTAN,NON-NYC,AM Peak,14,57
At Work,SR,MANHATTAN,NON-NYC,Other,14,57
At Work,SR,MANHATTAN,STATEN ISLAND,AM Peak,14,57
At Work,SR,MANHATTAN,STATEN ISLAND,Other,14,57
At Work,SR,MANHATTAN,WHR,AM Peak,14,57
At Work,SR,MANHATTAN,WHR,Other,14,57
At Work,SR,NON-NYC,MANHATTAN,AM Peak,12,35
At Work,SR,NON-NYC,MANHATTAN,Other,12,35
At Work,SR,NON-NYC,NON-NYC,AM Peak,14,57
At Work,SR,NON-NYC,NON-NYC,Other,14,57
At Work,SR,NON-NYC,STATEN ISLAND,AM Peak,14,57
At Work,SR,NON-NYC,STATEN ISLAND,Other,14,57
At Work,SR,NON-NYC,WHR,AM Peak,14,57
At Work,SR,NON-NYC,WHR,Other,14,57
At Work,SR,STATEN ISLAND,MANHATTAN,AM Peak,12,35
At Work,SR,STATEN ISLAND,MANHATTAN,Other,12,35
At Work,SR,STATEN ISLAND,NON-NYC,AM Peak,14,57
At Work,SR,STATEN ISLAND,NON-NYC,Other,14,57
At Work,SR,STATEN ISLAND,STATEN ISLAND,AM Peak,14,57
At Work,SR,STATEN ISLAND,STATEN ISLAND,Other,14,57
At Work,SR,STATEN ISLAND,WHR,AM Peak,14,57
At Work,SR,STATEN ISLAND,WHR,Other,14,57
At Work,SR,WHR,MANHATTAN,AM Peak,12,35
At Work,SR,WHR,MANHATTAN,Other,12,35
At Work,SR,WHR,NON-NYC,AM Peak,14,57
At Work,SR,WHR,NON-NYC,Other,14,57
At Work,SR,WHR,STATEN ISLAND,AM Peak,14,57
At Work,SR,WHR,STATEN ISLAND,Other,14,57
At Work,SR,WHR,WHR,AM Peak,14,57
At Work,SR,WHR,WHR,Other,14,57
At Work,TAXI,MANHATTAN,MANHATTAN,AM Peak,13,35
At Work,TAXI,MANHATTAN,MANHATTAN,Other,13,35
At Work,TAXI,MANHATTAN,NON-NYC,AM Peak,14,60
At Work,TAXI,MANHATTAN,NON-NYC,Other,14,60
At Work,TAXI,MANHATTAN,STATEN ISLAND,AM Peak,14,60
At Work,TAXI,MANHATTAN,STATEN ISLAND,Other,14,60
At Work,TAXI,MANHATTAN,WHR,AM Peak,14,60
At Work,TAXI,MANHATTAN,WHR,Other,14,60
At Work,TAXI,NON-NYC,MANHATTAN,AM Peak,13,35
At Work,TAXI,NON-NYC,MANHATTAN,Other,13,35
At Work,TAXI,NON-NYC,NON-NYC,AM Peak,14,60
At Work,TAXI,NON-NYC,NON-NYC,Other,14,60
