Purpose,Mode,Origin,Destination,Time Period,Activity Map,Arrival Map
Discretionary,WT,WHR,MANHATTAN,AM Peak,30,45
Discretionary,WT,WHR,MANHATTAN,Other,30,45
Discretionary,WT,WHR,NON-NYC,AM Peak,31,64
Discretionary,WT,WHR,NON-NYC,Other,30,64
Discretionary,WT,WHR,STATEN ISLAND,AM Peak,31,64
Discretionary,WT,WHR,STATEN ISLAND,Other,30,64
Discretionary,WT,WHR,WHR,AM Peak,31,64
Discretionary,WT,WHR,WHR,Other,30,64
Maintenance,DA,MANHATTAN,MANHATTAN,AM Peak,30,109
Maintenance,DA,MANHATTAN,MANHATTAN,Other,27,109
Maintenance,DA,MANHATTAN,NON-NYC,AM Peak,29,111
Maintenance,DA,MANHATTAN,NON-NYC,Other,29,111
Maintenance,DA,MANHATTAN,STATEN ISLAND,AM Peak,29,111
Maintenance,DA,MANHATTAN,STATEN ISLAND,Other,29,111
Maintenance,DA,MANHATTAN,WHR,AM Peak,29,117
Maintenance,DA,MANHATTAN,WHR,Other,29,117
Maintenance,DA,NON-NYC,MANHATTAN,AM Peak,30,109
Maintenance,DA,NON-NYC,MANHATTAN,Other,27,109
Maintenance,DA,NON-NYC,NON-NYC,AM Peak,29,111
Maintenance,DA,NON-NYC,NON-NYC,Other,29,111
Maintenance,DA,NON-NYC,STATEN ISLAND,AM Peak,29,111
Maintenance,DA,NON-NYC,STATEN ISLAND,Other,29,111
Maintenance,DA,NON-NYC,WHR,AM Peak,29,117
Maintenance,DA,NON-NYC,WHR,Other,29,117
Maintenance,DA,STATEN ISLAND,MANHATTAN,AM Peak,30,38
Maintenance,DA,STATEN ISLAND,MANHATTAN,Other,27,38
Maintenance,DA,STATEN ISLAND,NON-NYC,AM Peak,29,54
Maintenance,DA,STATEN ISLAND,NON-NYC,Other,29,54
Maintenance,DA,STATEN ISLAND,STATEN ISLAND,AM Peak,29,54
Maintenance,DA,STATEN ISLAND,STATEN ISLAND,Other,29,54
Maintenance,DA,STATEN ISLAND,WHR,AM Peak,29,122
Maintenance,DA,STATEN ISLAND,WHR,Other,29,122
Maintenance,DA,WHR,MANHATTAN,AM Peak,30,38
Maintenance,DA,WHR,MANHATTAN,Other,27,38
Maintenance,DA,WHR,NON-NYC,AM Peak,29,54
Maintenance,DA,WHR,NON-NYC,Other,29,54
Maintenance,DA,WHR,STATEN ISLAND,AM Peak,29,54
Maintenance,DA,WHR,STATEN ISLAND,Other,29,54
Maintenance,DA,WHR,WHR,AM Peak,29,54
Maintenance,DA,WHR,WHR,Other,29,54
Maintenance,DC,MANHATTAN,MANHATTAN,AM Peak,27,100
Maintenance,DC,MANHATTAN,MANHATTAN,Other,29,100
Maintenance,DC,MANHATTAN,NON-NYC,AM Peak,76,102
Maintenance,DC,MANHATTAN,NON-NYC,Other,29,102
Maintenance,DC,MANHATTAN,STATEN ISLAND,AM Peak,76,102
Maintenance,DC,MANHATTAN,STATEN ISLAND,Other,29,102
Maintenance,DC,MANHATTAN,WHR,AM Peak,76,65
Maintenance,DC,MANHATTAN,WHR,Other,29,65
Maintenance,DC,NON-NYC,MANHATTAN,AM Peak,27,100
Maintenance,DC,NON-NYC,MANHATTAN,Other,29,100
Maintenance,DC,NON-NYC,NON-NYC,AM Peak,76,102
Maintenance,DC,NON-NYC,NON-NYC,Other,29,102
Maintenance,DC,NON-NYC,STATEN ISLAND,AM Peak,76,102
Maintenance,DC,NON-NYC,STATEN ISLAND,Other,29,102
Maintenance,DC,NON-NYC,WHR,AM Peak,76,65
Maintenance,DC,NON-NYC,WHR,Other,29,65
Maintenance,DC,STATEN ISLAND,MANHATTAN,AM Peak,27,44
Maintenance,DC,STATEN ISLAND,MANHATTAN,Other,29,44
Maintenance,DC,STATEN ISLAND,NON-NYC,AM Peak,76,65
Maintenance,DC,STATEN ISLAND,NON-NYC,Other,29,65
Maintenance,DC,STATEN ISLAND,STATEN ISLAND,AM Peak,76,65
Maintenance,DC,STATEN ISLAND,STATEN ISLAND,Other,29,65
Maintenance,DC,STATEN ISLAND,WHR,AM Peak,76,65
Maintenance,DC,STATEN ISLAND,WHR,Other,29,65
Maintenance,DC,WHR,MANHATTAN,AM Peak,27,44
Maintenance,DC,WHR,MANHATTAN,Other,29,44
Maintenance,DC,WHR,NON-NYC,AM Peak,76,65
Maintenance,DC,WHR,NON-NYC,Other,29,65
Maintenance,DC,WHR,STATEN ISLAND,AM Peak,76,65
Maintenance,DC,WHR,STATEN ISLAND,Other,29,65
Maintenance,DC,WHR,WHR,AM Peak,76,65
Maintenance,DC,WHR,WHR,Other,29,65
Maintenance,DT,MANHATTAN,MANHATTAN,AM Peak,27,100
Maintenance,DT,MANHATTAN,MANHATTAN,Other,29,100
Maintenance,DT,MANHATTAN,NON-NYC,AM Peak,31,101
Maintenance,DT,MANHATTAN,NON-NYC,Other,29,101
Maintenance,DT,MANHATTAN,STATEN ISLAND,AM Peak,31,101
Maintenance,DT,MANHATTAN,STATEN ISLAND,Other,29,101
Maintenance,DT,MANHATTAN,WHR,AM Peak,31,63
Maintenance,DT,MANHATTAN,WHR,Other,29,63
Maintenance,DT,NON-NYC,MANHATTAN,AM Peak,27,100
Maintenance,DT,NON-NYC,MANHATTAN,Other,29,100
Maintenance,DT,NON-NYC,NON-NYC,AM Peak,31,101
Maintenance,DT,NON-NYC,NON-NYC,Other,29,101
Maintenance,DT,NON-NYC,STATEN ISLAND,AM Peak,31,101
Maintenance,DT,NON-NYC,STATEN ISLAND,Other,29,101
Maintenance,DT,NON-NYC,WHR,AM Peak,31,63
Maintenance,DT,NON-NYC,WHR,Other,29,63
Maintenance,DT,STATEN ISLAND,MANHATTAN,AM Peak,27,44
Maintenance,DT,STATEN ISLAND,MANHATTAN,Other,29,44
Maintenance,DT,STATEN ISLAND,NON-NYC,AM Peak,31,63
Maintenance,DT,STATEN ISLAND,NON-NYC,Other,29,63
Maintenance,DT,STATEN ISLAND,STATEN ISLAND,AM Peak,31,63
Maintenance,DT,STATEN ISLAND,STATEN ISLAND,Other,29,63
Maintenance,DT,STATEN ISLAND,WHR,AM Peak,31,63
Maintenance,DT,STATEN ISLAND,WHR,Other,29,63
Maintenance,DT,WHR,MANHATTAN,AM Peak,27,44
Maintenance,DT,WHR,MANHATTAN,Other,29,44
Maintenance,DT,WHR,NON-NYC,AM Peak,31,63
Maintenance,DT,WHR,NON-NYC,Other,29,63
Maintenance,DT,WHR,STATEN ISLAND,AM Peak,31,63
Maintenance,DT,WHR,STATEN ISLAND,Other,29,63
Maintenance,DT,WHR,WHR,AM Peak,31,63
Maintenance,DT,WHR,WHR,Other,29,63
Maintenance,SR,MANHATTAN,MANHATTAN,AM Peak,30,110
Maintenance,SR,MANHATTAN,MANHATTAN,Other,27,110
Maintenance,SR,MANHATTAN,NON-NYC,AM Peak,29,112
Maintenance,SR,MANHATTAN,NON-NYC,Other,29,112
Maintenance,SR,MANHATTAN,STATEN ISLAND,AM Peak,29,112
Maintenance,SR,MANHATTAN,STATEN ISLAND,Other,29,112
Maintenance,SR,MANHATTAN,WHR,AM Peak,29,118
Maintenance,SR,MANHATTAN,WHR,Other,29,118
Maintenance,SR,NON-NYC,MANHATTAN,AM Peak,30,110
Maintenance,SR,NON-NYC,MANHATTAN,Other,27,110
Maintenance,SR,NON-NYC,NON-NYC,AM Peak,29,112
Maintenance,SR,NON-NYC,NON-NYC,Other,29,112
Maintenance,SR,NON-NYC,STATEN ISLAND,AM Peak,29,112
Maintenance,SR,NON-NYC,STATEN ISLAND,Other,29,112
Maintenance,SR,NON-NYC,WHR,AM Peak,29,118
Maintenance,SR,NON-NYC,WHR,Other,29,118
Maintenance,SR,STATEN ISLAND,MANHATTAN,AM Peak,30,38
Maintenance,SR,STATEN ISLAND,MANHATTAN,Other,27,38
Maintenance,SR,STATEN ISLAND,NON-NYC,AM Peak,29,58
Maintenance,SR,STATEN ISLAND,NON-NYC,Other,29,58
Maintenance,SR,STATEN ISLAND,STATEN ISLAND,AM Peak,29,58
Maintenance,SR,STATEN ISLAND,STATEN ISLAND,Other,29,58
Maintenance,SR,STATEN ISLAND,WHR,AM Peak,29,123
Maintenance,SR,STATEN ISLAND,WHR,Other,29,123
Maintenance,SR,WHR,MANHATTAN,AM Peak,30,38
Maintenance,SR,WHR,MANHATTAN,Other,27,38
Maintenance,SR,WHR,NON-NYC,AM Peak,29,58
Maintenance,SR,WHR,NON-NYC,Other,29,58
Maintenance,SR,WHR,STATEN ISLAND,AM Peak,29,58
Maintenance,SR,WHR,STATEN ISLAND,Other,29,58
Maintenance,SR,WHR,WHR,AM Peak,29,58
Maintenance,SR,WHR,WHR,Other,29,58
Maintenance,TAXI,MANHATTAN,MANHATTAN,AM Peak,27,48
Maintenance,TAXI,MANHATTAN,MANHATTAN,Other,29,48
Maintenance,TAXI,MANHATTAN,NON-NYC,AM Peak,76,65
Maintenance,TAXI,MANHATTAN,NON-NYC,Other,29,65
Maintenance,TAXI,MANHATTAN,STATEN ISLAND,AM Peak,76,65
Maintenance,TAXI,MANHATTAN,STATEN ISLAND,Other,29,65
Maintenance,TAXI,MANHATTAN,WHR,AM Peak,76,65
Maintenance,TAXI,MANHATTAN,WHR,Other,29,65
Maintenance,TAXI,NON-NYC,MANHATTAN,AM Peak,27,48
Maintenance,TAXI,NON-NYC,MANHATTAN,Other,29,48
Maintenance,TAXI,NON-NYC,NON-NYC,AM Peak,76,65
Maintenance,TAXI,NON-NYC,NON-NYC,Other,29,65
Maintenance,TAXI,NON-NYC,STATEN ISLAND,AM Peak,76,65
Maintenance,TAXI,NON-NYC,STATEN ISLAND,Other,29,65
Maintenance,TAXI,NON-NYC,WHR,AM Peak,76,65
Maintenance,TAXI,NON-NYC,WHR,Other,29,65
Maintenance,TAXI,STATEN ISLAND,MANHATTAN,AM Peak,27,48
Maintenance,TAXI,STATEN ISLAND,MANHATTAN,Other,29,48
Maintenance,TAXI,STATEN ISLAND,NON-NYC,AM Peak,76,65
Maintenance,TAXI,STATEN ISLAND,NON-NYC,Other,29,65
Maintenance,TAXI,STATEN ISLAND,STATEN ISLAND,AM Peak,76,65
Maintenance,TAXI,STATEN ISLAND,STATEN ISLAND,Other,29,65
Maintenance,TAXI,STATEN ISLAND,WHR,AM Peak,76,65
Maintenance,TAXI,STATEN ISLAND,WHR,Other,29,65
Maintenance,TAXI,WHR,MANHATTAN,AM Peak,27,48
Maintenance,TAXI,WHR,MANHATTAN,Other,29,48
Maintenance,TAXI,WHR,NON-NYC,AM Peak,76,65
Maintenance,TAXI,WHR,NON-NYC,Other,29,65
Maintenance,TAXI,WHR,STATEN ISLAND,AM Peak,76,65
Maintenance,TAXI,WHR,STATEN ISLAND,Other,29,65
Maintenance,TAXI,WHR,WHR,AM Peak,76,65
Maintenance,TAXI,WHR,WHR,Other,29,65
Maintenance,WC,MANHATTAN,MANHATTAN,AM Peak,27,100
Maintenance,WC,MANHATTAN,MANHATTAN,Other,29,100
Maintenance,WC,MANHATTAN,NON-NYC,AM Peak,76,102
Maintenance,WC,MANHATTAN,NON-NYC,Other,29,102
Maintenance,WC,MANHATTAN,STATEN ISLAND,AM Peak,76,102
Maintenance,WC,MANHATTAN,STATEN ISLAND,Other,29,102
Maintenance,WC,MANHATTAN,WHR,AM Peak,76,65
Maintenance,WC,MANHATTAN,WHR,Other,29,65
Maintenance,WC,NON-NYC,MANHATTAN,AM Peak,27,100
Maintenance,WC,NON-NYC,MANHATTAN,Other,29,100
Maintenance,WC,NON-NYC,NON-NYC,AM Peak,76,102
Maintenance,WC,NON-NYC,NON-NYC,Other,29,102
Maintenance,WC,NON-NYC,STATEN ISLAND,AM Peak,76,102
Maintenance,WC,NON-NYC,STATEN ISLAND,Other,29,102
Maintenance,WC,NON-NYC,WHR,AM Peak,76,65
Maintenance,WC,NON-NYC,WHR,Other,29,65
Maintenance,WC,STATEN ISLAND,MANHATTAN,AM Peak,27,44
Maintenance,WC,STATEN ISLAND,MANHATTAN,Other,29,44
Maintenance,WC,STATEN ISLAND,NON-NYC,AM Peak,76,65
Maintenance,WC,STATEN ISLAND,NON-NYC,Other,29,65
Maintenance,WC,STATEN ISLAND,STATEN ISLAND,AM Peak,76,65
Maintenance,WC,STATEN ISLAND,STATEN ISLAND,Other,29,65
Maintenance,WC,STATEN ISLAND,WHR,AM Peak,76,65
Maintenance,WC,STATEN ISLAND,WHR,Other,29,65
Maintenance,WC,WHR,MANHATTAN,AM Peak,27,44
Maintenance,WC,WHR,MANHATTAN,Other,29,44
Maintenance,WC,WHR,NON-NYC,AM Peak,76,65
Maintenance,WC,WHR,NON-NYC,Other,29,65
Maintenance,WC,WHR,STATEN ISLAND,AM Peak,76,65
Maintenance,WC,WHR,STATEN ISLAND,Other,29,65
Maintenance,WC,WHR,WHR,AM Peak,76,65
Maintenance,WC,WHR,WHR,Other,29,65
Maintenance,WT,MANHATTAN,MANHATTAN,AM Peak,27,98
Maintenance,WT,MANHATTAN,MANHATTAN,Other,29,98
Maintenance,WT,MANHATTAN,NON-NYC,AM Peak,31,101
Maintenance,WT,MANHATTAN,NON-NYC,Other,29,101
Maintenance,WT,MANHATTAN,STATEN ISLAND,AM Peak,31,101
Maintenance,WT,MANHATTAN,STATEN ISLAND,Other,29,101
Maintenance,WT,MANHATTAN,WHR,AM Peak,31,63
Maintenance,WT,MANHATTAN,WHR,Other,29,63
Maintenance,WT,NON-NYC,MANHATTAN,AM Peak,27,99
Maintenance,WT,NON-NYC,MANHATTAN,Other,29,99
Maintenance,WT,NON-NYC,NON-NYC,AM Peak,31,101
Maintenance,WT,NON-NYC,NON-NYC,Other,29,101
Maintenance,WT,NON-NYC,STATEN ISLAND,AM Peak,31,101
Maintenance,WT,NON-NYC,STATEN ISLAND,Other,29,101
Maintenance,WT,NON-NYC,WHR,AM Peak,31,63
Maintenance,WT,NON-NYC,WHR,Other,29,63
Maintenance,WT,STATEN ISLAND,MANHATTAN,AM Peak,27,48
Maintenance,WT,STATEN ISLAND,MANHATTAN,Other,29,48
Maintenance,WT,STATEN ISLAND,NON-NYC,AM Peak,31,63
Maintenance,WT,STATEN ISLAND,NON-NYC,Other,29,63
Maintenance,WT,STATEN ISLAND,STATEN ISLAND,AM Peak,31,63
Maintenance,WT,STATEN ISLAND,STATEN ISLAND,Other,29,63
Maintenance,WT,STATEN ISLAND,WHR,AM Peak,31,63
Maintenance,WT,STATEN ISLAND,WHR,Other,29,63
Maintenance,WT,WHR,MANHATTAN,AM Peak,27,48
Maintenance,WT,WHR,MANHATTAN,Other,29,48
Maintenance,WT,WHR,NON-NYC,AM Peak,31,63
Maintenance,WT,WHR,NON-NYC,Other,29,63
Maintenance,WT,WHR,STATEN ISLAND,AM Peak,31,63
Maintenance,WT,WHR,STATEN ISLAND,Other,29,63
Maintenance,WT,WHR,WHR,AM Peak,31,63
Maintenance,WT,WHR,WHR,Other,29,63
School,DA,MANHATTAN,MANHATTAN,AM Peak,16,36
School,DA,MANHATTAN,MANHATTAN,Other,15,36
School,DA,MANHATTAN,NON-NYC,AM Peak,18,52
School,DA,MANHATTAN,NON-NYC,Other,15,52
School,DA,MANHATTAN,STATEN ISLAND,AM Peak,18,52
School,DA,MANHATTAN,STATEN ISLAND,Other,15,52
School,DA,MANHATTAN,WHR,AM Peak,18,52
School,DA,MANHATTAN,WHR,Other,15,52
School,DA,NON-NYC,MANHATTAN,AM Peak,16,36
School,DA,NON-NYC,MANHATTAN,Other,15,36
School,DA,NON-NYC,NON-NYC,AM Peak,18,52
School,DA,NON-NYC,NON-NYC,Other,15,52
School,DA,NON-NYC,STATEN ISLAND,AM Peak,18,52
School,DA,NON-NYC,STATEN ISLAND,Other,15,52
School,DA,NON-NYC,WHR,AM Peak,18,52
School,DA,NON-NYC,WHR,Other,15,52
School,DA,STATEN ISLAND,MANHATTAN,AM Peak,16,36
School,DA,STATEN ISLAND,MANHATTAN,Other,15,36
School,DA,STATEN ISLAND,NON-NYC,AM Peak,18,52
School,DA,STATEN ISLAND,NON-NYC,Other,15,52
School,DA,STATEN ISLAND,STATEN ISLAND,AM Peak,18,52
School,DA,STATEN ISLAND,STATEN ISLAND,Other,15,52
School,DA,STATEN ISLAND,WHR,AM Peak,18,52
School,DA,STATEN ISLAND,WHR,Other,15,52
School,DA,WHR,MANHATTAN,AM Peak,16,36
School,DA,WHR,MANHATTAN,Other,15,36
School,DA,WHR,NON-NYC,AM Peak,18,52
School,DA,WHR,NON-NYC,Other,15,52
School,DA,WHR,STATEN ISLAND,AM Peak,18,52
School,DA,WHR,STATEN ISLAND,Other,15,52
School,DA,WHR,WHR,AM Peak,18,52
School,DA,WHR,WHR,Other,15,52
School,DC,MANHATTAN,MANHATTAN,AM Peak,17,42
School,DC,MANHATTAN,MANHATTAN,Other,15,42
School,DC,MANHATTAN,NON-NYC,AM Peak,19,61
School,DC,MANHATTAN,NON-NYC,Other,15,61
School,DC,MANHATTAN,STATEN ISLAND,AM Peak,19,61
School,DC,MANHATTAN,STATEN ISLAND,Other,15,61
School,DC,MANHATTAN,WHR,AM Peak,19,61
School,DC,MANHATTAN,WHR,Other,15,61
School,DC,NON-NYC,MANHATTAN,AM Peak,17,42
School,DC,NON-NYC,MANHATTAN,Other,15,42
School,DC,NON-NYC,NON-NYC,AM Peak,19,61
School,DC,NON-NYC,NON-NYC,Other,15,61
School,DC,NON-NYC,STATEN ISLAND,AM Peak,19,61
School,DC,NON-NYC,STATEN ISLAND,Other,15,61
School,DC,NON-NYC,WHR,AM Peak,19,61
School,DC,NON-NYC,WHR,Other,15,61
School,DC,STATEN ISLAND,MANHATTAN,AM Peak,17,42
School,DC,STATEN ISLAND,MANHATTAN,Other,15,42
School,DC,STATEN ISLAND,NON-NYC,AM Peak,19,61
School,DC,STATEN ISLAND,NON-NYC,Other,15,61
School,DC,STATEN ISLAND,STATEN ISLAND,AM Peak,19,61
School,DC,STATEN ISLAND,STATEN ISLAND,Other,15,61
School,DC,STATEN ISLAND,WHR,AM Peak,19,61
School,DC,STATEN ISLAND,WHR,Other,15,61
School,DC,WHR,MANHATTAN,AM Peak,17,42
School,DC,WHR,MANHATTAN,Other,15,42
School,DC,WHR,NON-NYC,AM Peak,19,61
School,DC,WHR,NON-NYC,Other,15,61
School,DC,WHR,STATEN ISLAND,AM Peak,19,61
School,DC,WHR,STATEN ISLAND,Other,15,61
School,DC,WHR,WHR,AM Peak,19,61
School,DC,WHR,WHR,Other,15,61
School,DT,MANHATTAN,MANHATTAN,AM Peak,17,42
School,DT,MANHATTAN,MANHATTAN,Other,15,42
School,DT,MANHATTAN,NON-NYC,AM Peak,19,61
School,DT,MANHATTAN,NON-NYC,Other,15,61
School,DT,MANHATTAN,STATEN ISLAND,AM Peak,19,61
School,DT,MANHATTAN,STATEN ISLAND,Other,15,61
School,DT,MANHATTAN,WHR,AM Peak,19,61
School,DT,MANHATTAN,WHR,Other,15,61
School,DT,NON-NYC,MANHATTAN,AM Peak,17,42
School,DT,NON-NYC,MANHATTAN,Other,15,42
School,DT,NON-NYC,NON-NYC,AM Peak,19,61
School,DT,NON-NYC,NON-NYC,Other,15,61
School,DT,NON-NYC,STATEN ISLAND,AM Peak,19,61
School,DT,NON-NYC,STATEN ISLAND,Other,15,61
School,DT,NON-NYC,WHR,AM Peak,19,61
School,DT,NON-NYC,WHR,Other,15,61
School,DT,STATEN ISLAND,MANHATTAN,AM Peak,17,42
School,DT,STATEN ISLAND,MANHATTAN,Other,15,42
School,DT,STATEN ISLAND,NON-NYC,AM Peak,19,61
School,DT,STATEN ISLAND,NON-NYC,Other,15,61
School,DT,STATEN ISLAND,STATEN ISLAND,AM Peak,19,61
School,DT,STATEN ISLAND,STATEN ISLAND,Other,15,61
School,DT,STATEN ISLAND,WHR,AM Peak,19,61
School,DT,STATEN ISLAND,WHR,Other,15,61
School,DT,WHR,MANHATTAN,AM Peak,17,42
School,DT,WHR,MANHATTAN,Other,15,42
School,DT,WHR,NON-NYC,AM Peak,19,61
School,DT,WHR,NON-NYC,Other,15,61
School,DT,WHR,STATEN ISLAND,AM Peak,19,61
School,DT,WHR,STATEN ISLAND,Other,15,61
School,DT,WHR,WHR,AM Peak,19,61
School,DT,WHR,WHR,Other,15,61
School,SR,MANHATTAN,MANHATTAN,AM Peak,16,36
School,SR,MANHATTAN,MANHATTAN,Other,15,36
School,SR,MANHATTAN,NON-NYC,AM Peak,18,52
School,SR,MANHATTAN,NON-NYC,Other,15,52
School,SR,MANHATTAN,STATEN ISLAND,AM Peak,18,52
School,SR,MANHATTAN,STATEN ISLAND,Other,15,52
School,SR,MANHATTAN,WHR,AM Peak,18,52
School,SR,MANHATTAN,WHR,Other,15,52
School,SR,NON-NYC,MANHATTAN,AM Peak,16,36
School,SR,NON-NYC,MANHATTAN,Other,15,36
School,SR,NON-NYC,NON-NYC,AM Peak,18,52
School,SR,NON-NYC,NON-NYC,Other,15,52
School,SR,NON-NYC,STATEN ISLAND,AM Peak,18,52
School,SR,NON-NYC,STATEN ISLAND,Other,15,52
School,SR,NON-NYC,WHR,AM Peak,18,52
School,SR,NON-NYC,WHR,Other,15,52
School,SR,STATEN ISLAND,MANHATTAN,AM Peak,16,36
School,SR,STATEN ISLAND,MANHATTAN,Other,15,36
School,SR,STATEN ISLAND,NON-NYC,AM Peak,18,52
School,SR,STATEN ISLAND,NON-NYC,Other,15,52
School,SR,STATEN ISLAND,STATEN ISLAND,AM Peak,18,52
School,SR,STATEN ISLAND,STATEN ISLAND,Other,15,52
School,SR,STATEN ISLAND,WHR,AM Peak,18,52
School,SR,STATEN ISLAND,WHR,Other,15,52
School,SR,WHR,MANHATTAN,AM Peak,16,36
School,SR,WHR,MANHATTAN,Other,15,36
School,SR,WHR,NON-NYC,AM Peak,18,52
School,SR,WHR,NON-NYC,Other,15,52
School,SR,WHR,STATEN ISLAND,AM Peak,18,52
School,SR,WHR,STATEN ISLAND,Other,15,52
School,SR,WHR,WHR,AM Peak,18,52
School,SR,WHR,WHR,Other,15,52
School,TAXI,MANHATTAN,MANHATTAN,AM Peak,17,42
School,TAXI,MANHATTAN,MANHATTAN,Other,15,42
School,TAXI,MANHATTAN,NON-NYC,AM Peak,19,61
School,TAXI,MANHATTAN,NON-NYC,Other,15,61
School,TAXI,MANHATTAN,STATEN ISLAND,AM Peak,19,61
School,TAXI,MANHATTAN,STATEN ISLAND,Other,15,61
School,TAXI,MANHATTAN,WHR,AM Peak,19,61
School,TAXI,MANHATTAN,WHR,Other,15,61
School,TAXI,NON-NYC,MANHATTAN,AM Peak,17,42
School,TAXI,NON-NYC,MANHATTAN,Other,15,42
School,TAXI,NON-NYC,NON-NYC,AM Peak,19,61
School,TAXI,NON-NYC,NON-NYC,Other,15,61
School,TAXI,NON-NYC,STATEN ISLAND,AM Peak,19,61
School,TAXI,NON-NYC,STATEN ISLAND,Other,15,61
School,TAXI,NON-NYC,WHR,AM Peak,19,61
School,TAXI,NON-NYC,WHR,Other,15,61
School,TAXI,STATEN ISLAND,MANHATTAN,AM Peak,17,42
School,TAXI,STATEN ISLAND,MANHATTAN,Other,15,42
School,TAXI,STATEN ISLAND,NON-NYC,AM Peak,19,61
School,TAXI,STATEN ISLAND,NON-NYC,Other,15,61
School,TAXI,STATEN ISLAND,STATEN ISLAND,AM Peak,19,61
School,TAXI,STATEN ISLAND,STATEN ISLAND,Other,15,61
School,TAXI,STATEN ISLAND,WHR,AM Peak,19,61
School,TAXI,STATEN ISLAND,WHR,Other,15,61
School,TAXI,WHR,MANHATTAN,AM Peak,17,42
School,TAXI,WHR,MANHATTAN,Other,15,42
School,TAXI,WHR,NON-NYC,AM Peak,19,61
School,TAXI,WHR,NON-NYC,Other,15,61
School,TAXI,WHR,STATEN ISLAND,AM Peak,19,61
School,TAXI,WHR,STATEN ISLAND,Other,15,61
School,TAXI,WHR,WHR,AM Peak,19,61
School,TAXI,WHR,WHR,Other,15,61
School,WC,MANHATTAN,MANHATTAN,AM Peak,17,42
School,WC,MANHATTAN,MANHATTAN,Other,15,42
School,WC,MANHATTAN,NON-NYC,AM Peak,19,61
School,WC,MANHATTAN,NON-NYC,Other,15,61
School,WC,MANHATTAN,STATEN ISLAND,AM Peak,19,61
School,WC,MANHATTAN,STATEN ISLAND,Other,15,61
School,WC,MANHATTAN,WHR,AM Peak,19,61
School,WC,MANHATTAN,WHR,Other,15,61
School,WC,NON-NYC,MANHATTAN,AM Peak,17,42
School,WC,NON-NYC,MANHATTAN,Other,15,42
School,WC,NON-NYC,NON-NYC,AM Peak,19,61
School,WC,NON-NYC,NON-NYC,Other,15,61
School,WC,NON-NYC,STATEN ISLAND,AM Peak,19,61
School,WC,NON-NYC,STATEN ISLAND,Other,15,61
School,WC,NON-NYC,WHR,AM Peak,19,61
School,WC,NON-NYC,WHR,Other,15,61
School,WC,STATEN ISLAND,MANHATTAN,AM Peak,17,42
School,WC,STATEN ISLAND,MANHATTAN,Other,15,42
School,WC,STATEN ISLAND,NON-NYC,AM Peak,19,61
School,WC,STATEN ISLAND,NON-NYC,Other,15,61
School,WC,STATEN ISLAND,STATEN ISLAND,AM Peak,19,61
School,WC,STATEN ISLAND,STATEN ISLAND,Other,15,61
School,WC,STATEN ISLAND,WHR,AM Peak,19,61
School,WC,STATEN ISLAND,WHR,Other,15,61
School,WC,WHR,MANHATTAN,AM Peak,17,42
School,WC,WHR,MANHATTAN,Other,15,42
School,WC,WHR,NON-NYC,AM Peak,19,61
School,WC,WHR,NON-NYC,Other,15,61
School,WC,WHR,STATEN ISLAND,AM Peak,19,61
School,WC,WHR,STATEN ISLAND,Other,15,61
School,WC,WHR,WHR,AM Peak,19,61
School,WC,WHR,WHR,Other,15,61
School,WT,MANHATTAN,MANHATTAN,AM Peak,17,42
School,WT,MANHATTAN,MANHATTAN,Other,15,42
School,WT,MANHATTAN,NON-NYC,AM Peak,19,61
School,WT,MANHATTAN,NON-NYC,Other,15,61
School,WT,MANHATTAN,STATEN ISLAND,AM Peak,19,61
School,WT,MANHATTAN,STATEN ISLAND,Other,15,61
School,WT,MANHATTAN,WHR,AM Peak,19,61
School,WT,MANHATTAN,WHR,Other,15,61
School,WT,NON-NYC,MANHATTAN,AM Peak,17,42
School,WT,NON-NYC,MANHATTAN,Other,15,42
School,WT,NON-NYC,NON-NYC,AM Peak,19,61
School,WT,NON-NYC,NON-NYC,Other,15,61
School,WT,NON-NYC,STATEN ISLAND,AM Peak,19,61
School,WT,NON-NYC,STATEN ISLAND,Other,15,61
School,WT,NON-NYC,WHR,AM Peak,19,61
School,WT,NON-NYC,WHR,Other,15,61
School,WT,STATEN ISLAND,MANHATTAN,AM Peak,17,42
School,WT,STATEN ISLAND,MANHATTAN,Other,15,42
School,WT,STATEN ISLAND,NON-NYC,AM Peak,19,61
School,WT,STATEN ISLAND,NON-NYC,Other,15,61
School,WT,STATEN ISLAND,STATEN ISLAND,AM Peak,19,61
School,WT,STATEN ISLAND,STATEN ISLAND,Other,15,61
School,WT,STATEN ISLAND,WHR,AM Peak,19,61
School,WT,STATEN ISLAND,WHR,Other,15,61
School,WT,WHR,MANHATTAN,AM Peak,17,42
School,WT,WHR,MANHATTAN,Other,15,42
School,WT,WHR,NON-NYC,AM Peak,19,61
School,WT,WHR,NON-NYC,Other,15,61
School,WT,WHR,STATEN ISLAND,AM Peak,19,61
School,WT,WHR,STATEN ISLAND,Other,15,61
School,WT,WHR,WHR,AM Peak,19,61
School,WT,WHR,WHR,Other,15,61
University,DA,MANHATTAN,MANHATTAN,AM Peak,20,37
University,DA,MANHATTAN,MANHATTAN,Other,20,37
University,DA,MANHATTAN,NON-NYC,AM Peak,23,53
University,DA,MANHATTAN,NON-NYC,Other,22,53
University,DA,MANHATTAN,STATEN ISLAND,AM Peak,23,53
