0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,0.00170515398273,0.0022158676879099996,0.00317339212704,0.00393721435334,0.00368789060267,0.00296656211623,0.00208644962106,0.0010317111352100001,0.000817162210991,0.000962027096987,0.0011184960811400002,0.00118640363525,0.00167258627293,0.0028718948962900004,0.0022402813555999997,0.000790183232302,0.0006869663078709999,0.0322496177238,0.142457664092,0.237861234201,0.281207318249,0.1615480032,0.0161821711643,0.016924334872,0.015473135688200001,0.0143069458045,0.013972157980700001,0.0123419170743,0.008262208811780001,0.00536755133892,0.004584349649229999,0.0030122431363600005,0.0010989042989200002,1.53825448392e-17,1.53825448392e-17,1.53825448392e-17,1.53825448392e-17,1.53825448392e-17,1.53825448392e-17,1.53825448392e-17,1.53825448392e-17,1.53825448392e-17,1.53825448392e-17,1.53825448392e-17,1.53825448392e-17,1.53825448392e-17,1.53825448392e-17,1.53825448392e-17
2,0.0,0.0,0.0,0.000337796971508,0.000975685965214,0.000676157157841,0.0030762387884699996,0.0063672653860099996,0.005264876380939999,0.0049610448152600005,0.0049597864614099995,0.004857458953310001,0.00642072005443,0.00909762938313,0.014205079609100002,0.0198732228796,0.0337468378786,0.0768037436839,0.125509881934,0.150381753098,0.157670503902,0.13148459165999998,0.083031321645,0.0519322429224,0.0337373900767,0.023052063172599998,0.0181591419813,0.0117075821096,0.00897240287944,0.005548406842850001,0.00189717645693,0.00291904096388,0.0023729559868400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.000771398694827,0.000771398694827,0.0005609626164380001,0.0005609626164380001,0.00178201618626,0.00178201618626,0.00138741440418,0.00270544807519,0.00214117207816,0.00101591525931,0.00701016665321,0.0104779653455,0.015142640852399998,0.0231120675979,0.028348392284,0.089139568584,0.144323976966,0.160709062719,0.157820668701,0.12250045031,0.081338523471,0.0447379383571,0.0322831955859,0.0234125111139,0.0172941353855,0.013189311966299999,0.00482247980904,0.00193643428618,0.0024776076459999997,0.00145370022142,2.1684043449699997e-19,2.1684043449699997e-19,0.00249524866685,0.00249524866685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.00382634450383,0.00752828350753,0.00727467800727,0.0070070115070100004,0.0067030625067,0.00632877550633,0.00586437100586,0.0053076350053100005,0.004730561504729999,0.00423671100424,0.004118436504120001,0.0040387130040399994,0.0046985615047,0.0066693420066700005,0.012019481512,0.027974558528,0.08509598758510001,0.152334119652,0.17377278667399998,0.142099764642,0.09807499759810001,0.0712428625712,0.051881416551900005,0.031994432532,0.0157913915158,0.0156990845157,0.0123649380124,0.00824260000824,0.00726389000726,0.004687938004689999,0.0035210930035199997,0.004608168004609999,0.0029980020030000005,2.6020852165700005e-18,2.6020852165700005e-18,2.6020852165700005e-18,2.6020852165700005e-18,2.6020852165700005e-18,2.6020852165700005e-18,2.6020852165700005e-18,2.6020852165700005e-18,2.6020852165700005e-18,2.6020852165700005e-18,2.6020852165700005e-18,2.6020852165700005e-18,2.6020852165700005e-18,2.6020852165700005e-18
5,0.00400439831603,0.00440960588253,0.0061737750798300005,0.016876709192899998,0.0316492862272,0.0286087082803,0.026373709668099998,0.0339892652263,0.036108409267699995,0.03667521263830001,0.0443747886334,0.0520031105795,0.04705958735,0.0370893073752,0.041260002064999995,0.051093530891899996,0.048588784950800004,0.061131245079199995,0.086562074867,0.10167581844799999,0.078409297591,0.041845497934400004,0.030436065209400003,0.0242620645821,0.0124471598213,0.00326054614342,0.0044585177548,0.0035992780743400003,0.0010270709748,0.00247900009283,0.0020681718027099998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.010234470060700001,0.0252158417066,0.0248460846136,0.0172588543676,0.021005904586400004,0.025526288900700002,0.0328277789733,0.0493102543662,0.0555534531389,0.046064913259899996,0.04545917802090001,0.0635833435881,0.06464000370260001,0.061737972737600004,0.0603141871758,0.06569016082489999,0.0871909017962,0.07377074851439999,0.039241817224,0.023993888144299997,0.025988501578799998,0.03442764555530001,0.0224094851992,0.004525582358180001,0.0035704472192600004,0.007350316887109999,0.006611150687290001,0.0015441887891300002,0.00010663602300099999,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18,5.651403824080001e-18
7,0.00014569153774300002,0.0013278927988399998,0.00274469319657,0.00334074950117,0.005026405288739999,0.00551535818197,0.00795005291853,0.0109658785864,0.0140160105228,0.0168141310816,0.0170881144201,0.018573741308599998,0.021631700625800002,0.026733371864,0.033317267566900004,0.047099187441,0.0703972629897,0.105363283453,0.136745965347,0.13761927543,0.107217923974,0.0696513916709,0.047448771553100004,0.0336634186903,0.0211465252705,0.013005736557400002,0.008780195703829999,0.00645171938723,0.0039819348106,0.0022718424234,0.00142889018624,0.0011281320368800001,0.000679672016069,0.00033891003193299997,0.000268909572974,8.47188247864e-05,2.04353825708e-05,1.48378466147e-05,1.8184472619199998e-17,1.8184472619199998e-17,1.8184472619199998e-17,1.8184472619199998e-17,1.8184472619199998e-17,1.8184472619199998e-17,1.8184472619199998e-17,1.8184472619199998e-17,1.8184472619199998e-17,1.8184472619199998e-17
8,0.0,0.0,0.0,0.00381407150831,0.00381407150831,0.0,0.00340218485867,0.00572732737572,0.00411918741271,0.0104988904602,0.0243102885468,0.0224451323716,0.022156090599000002,0.0326809375257,0.03500068109769999,0.0345970344463,0.04218990498459999,0.08594809967710001,0.13738934239199999,0.138191000782,0.113471883729,0.08662321321350001,0.0572241829999,0.0390571199324,0.0254556671858,0.019029393518,0.0165076803202,0.0111822345561,0.00981212954931,0.00773052475934,0.0026716849420300006,0.0009757366124289999,0.0024750198741599998,0.00149928326173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.000999500249875,0.00149925037481,0.00249875062469,0.00349825087456,0.0044977511244399995,0.00550094952524,0.006000699650169999,0.00670034982509,0.00720009995002,0.00850314842579,0.00900289855072,0.010555822089,0.0176633683158,0.025563118440799996,0.0299221889055,0.0487813093453,0.082791954023,0.130212693653,0.149776961519,0.12302178910499999,0.128759670165,0.09698850574710001,0.0394246876562,0.0283191404298,0.016306646676700003,0.007200099950030001,0.0037018490754600003,0.00270234882559,0.00170284857571,0.000703348325837,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17,3.44603988856e-17
10,0.0141633754408,0.0205618913613,0.0374425205304,0.0449076381135,0.0495656532967,0.0564938766851,0.0505627265387,0.049297609784199996,0.0535413427494,0.0550030150215,0.0507420251597,0.0401337649207,0.048573991980900004,0.0525109907808,0.0463055002266,0.0386685722222,0.031269452908400004,0.043752140822800004,0.0478555381179,0.0476290443888,0.0426845909791,0.0250878078941,0.0147573063775,0.00974097111292,0.006832743979600001,0.0046642683162399995,0.00467085695949,0.00593843898499,0.00417090292926,0.00188877195411,0.000221961909492,0.000180353776397,0.000180353776397,6.05544857592e-18,6.05544857592e-18,6.05544857592e-18,6.05544857592e-18,6.05544857592e-18,6.05544857592e-18,6.05544857592e-18,6.05544857592e-18,6.05544857592e-18,6.05544857592e-18,6.05544857592e-18,6.05544857592e-18,6.05544857592e-18,6.05544857592e-18,6.05544857592e-18
