Map,AM Peak,Midday,PM Peak,Night,Version
34,0.48437463074160003,0.2771319695478,0.05791779916789001,0.18057560054281002,Draft Final
34,0.48551027799999996,0.27446966300000003,0.042880506,0.197139551,1996
35,0.17134852700000003,0.680027318,0.128600901,0.020023252,1996
35,0.14632931629251,0.6850481253703,0.13783006727548996,0.03079249106153,Draft Final
36,0.695497069,0.30450293100000003,2.220446049248e-16,2.220446049248e-16,Draft Final
36,0.708923638,0.291076362,0.0,0.0,1996
37,0.43637522916174504,0.12713360527506998,0.37089411575163,0.06559704981047101,Draft Final
37,0.47500614700000005,0.090382342,0.411470511,0.023141001,1996
38,0.09721532105498,0.4298998106835,0.16878962128379998,0.30409524697756996,Draft Final
38,0.102983795,0.42739993200000004,0.17305541,0.29656086800000003,1996
39,0.128789577,0.33377754400000004,0.342312994,0.19511988500000002,1996
39,0.11902612000000001,0.3265579855,0.31324795450000004,0.24116793999999997,Draft Final
40,0.33647130000000003,0.3966435,0.11738849999999998,0.14949669999999998,1996
40,0.3339652459454,0.39586138098684986,0.13223342205059002,0.13793995101695,Draft Final
41,0.7898717000000001,0.16566669999999994,0.03484620000000001,0.009615400000000001,1996
41,0.74820505,0.20893594999999998,0.034948749999999994,0.007910250000000495,Draft Final
42,0.8662431500000001,0.13375685,0.0,0.0,Draft Final
42,0.8763782999999998,0.1236217,0.0,0.0,1996
43,0.48000000000000004,0.47750000000000004,0.0025,0.04,Draft Final
43,0.45999999999999996,0.46,0.0,0.08,1996
44,0.2580689,0.549966,0.1445857,0.0473794,1996
44,0.23128022359509998,0.5645850586577001,0.15854641560508997,0.04558830214227,Draft Final
45,0.1019136,0.4261006,0.4000835,0.07190229999999999,1996
45,0.08033085000000001,0.44618335,0.34912665,0.12435915000000002,Draft Final
46,0.8748592816311,0.10473050169234,0.005201981894043097,0.015208234781360195,Draft Final
46,0.7757932000000001,0.15368919999999997,0.0422074,0.0283102,1996
47,0.46791755,0.32720615000000003,0.190067,0.014809300000000096,Draft Final
47,0.5038454,0.30158760000000007,0.1812577,0.0133093,1996
48,0.24476089999999998,0.46370519999999993,0.23582609999999996,0.055707800000000016,1996
48,0.21082692104148,0.47908667528090004,0.24570078545159998,0.06438561822614,Draft Final
49,0.8712591000000001,0.10059655,0.02364205,0.0045023,Draft Final
49,0.8838965,0.0890853,0.023265900000000006,0.0037523000000000005,1996
50,0.611513485,0.235189374,0.061363419999999995,0.091933719,1996
50,0.6994576933361999,0.18255662165819997,0.06827261886513,0.04971306614008744,Draft Final
51,0.16719428472376,0.7689590706925001,0.041112642189604004,0.022734002393966002,Draft Final
51,0.09475280700000002,0.831253003,0.068503646,0.005490545,1996
52,0.91225430909395,0.03719764825778699,0.04820895321992099,0.002339089428432,Draft Final
52,0.8214141620000001,0.10470681500000001,0.06973030799999999,0.0041487139999999995,1996
53,0.47949059313001996,0.2602949559498,0.19770340303203002,0.06251104788832922,Draft Final
53,0.473013823,0.20393542800000003,0.310606357,0.012444394,1996
54,0.16328218297887,0.5980465563534,0.20892864227719998,0.0297426183906182,Draft Final
54,0.131969736,0.475099234,0.275726879,0.11720414900000001,1996
55,0.11011027500000001,0.28972481099999997,0.430739913,0.169425,1996
55,0.15442931814665,0.2778775666846,0.5029498414582001,0.0647432737104463,Draft Final
56,0.781867719276,0.12891775837724,0.0678201352606,0.02139438708537103,Draft Final
56,0.653072729,0.21080738199999996,0.06488722799999999,0.071232662,1996
57,0.0981309,0.8484672000000001,0.0534019,0.0,1996
57,0.09112155,0.84145785,0.0674206,4.926614671776001e-16,Draft Final
58,0.163314539,0.38524372300000004,0.320774453,0.130667284,1996
58,0.22496452392068,0.4295744439345,0.2968091615851,0.048651870559859,Draft Final
59,0.8413953692005,0.10646351747998,0.018295345884183998,0.033845767434881005,Draft Final
59,0.713182973,0.196090508,0.050900062,0.039826455,1996
60,0.1953913,0.8046087,0.0,0.0,1996
60,0.14217395,0.85782605,0.0,0.0,Draft Final
61,0.9298133615157601,0.064507691890722,0.0056789465936599995,0.0,Draft Final
61,0.910671,0.08932899999999999,0.0,0.0,1996
62,0.5583334,0.3593333,0.0823333,0.0,1996
62,0.5208334,0.3843333,0.0948333,2.77555756156e-17,Draft Final
63,0.2734501,0.5337713000000001,0.1542125,0.038566100000000006,1996
63,0.24165359999999997,0.5393357,0.1796497,0.03936099999999999,Draft Final
64,0.14822474938972,0.3936480894551,0.39682615609762995,0.06130100505772599,Draft Final
64,0.1649431,0.3896638,0.40090690000000007,0.044486200000000004,1996
65,0.228,0.34366670000000005,0.3503333,0.078,1996
65,0.20050417143702,0.35915970351529997,0.35327728324883,0.08705884179935001,Draft Final
66,0.40081936500000004,0.42455680199999996,0.07311230299999999,0.10151153300000001,1996
66,0.38002560427580007,0.44171651928139993,0.08384335527598,0.09441452116665,Draft Final
67,0.10731020000000001,0.15732479999999996,0.13590059999999998,0.5994644,1996
67,0.11224121906536003,0.15825877929729998,0.1295616751736,0.5999383264647,Draft Final
68,0.2364472,0.28860959999999997,0.134509,0.34043419999999996,1996
68,0.24166628235350002,0.2943873429584,0.13301537004365,0.33093100464392,Draft Final
69,0.17141305,0.3163486,0.13727925000000002,0.3749591,Draft Final
69,0.1682284,0.31645779999999996,0.13364220000000002,0.38167159999999994,1996
70,0.3453262759103,0.39532381764380004,0.1336260668977,0.12572383954833,Draft Final
70,0.35683119999999996,0.38396560000000013,0.1266716,0.1325316,1996
71,0.18125525099999998,0.382804826,0.228965285,0.206974638,1996
