Map,AM Peak,Midday,PM Peak,Night,Version
34,0.4947894184819607,0.26863222480119303,0.038218027586503826,0.19836032913034285,Draft Final
34,0.5029361269999999,0.26217996400000004,0.033468079000000005,0.201415828,1996
35,0.23907032300000003,0.634851588,0.112352613,0.013725474,1996
35,0.20520942541041887,0.6574394543148789,0.12047675724095336,0.01687436303374869,Draft Final
36,0.7105348279999998,0.28946517200000016,2.2204460492503126e-16,1.9428902930940235e-16,Draft Final
36,0.712146018,0.287853982,0.0,0.0,1996
37,0.47726146767846,0.0908120995795407,0.40968820996688116,0.022238222775117503,Draft Final
37,0.47904831900000006,0.09115271800000001,0.407503768,0.022295196,1996
38,0.10487468949555885,0.4299464161802747,0.17913299917644213,0.28604589514772444,Draft Final
38,0.104220549,0.422059223,0.18086349799999998,0.292856735,1996
39,0.157722426,0.3235634,0.342312994,0.17640118000000002,1996
39,0.1432560015,0.32867047199999994,0.34231299400000004,0.18576053250000002,Draft Final
40,0.34757960000000004,0.39938229999999997,0.10191079999999998,0.15112730000000002,1996
40,0.3387886127752533,0.3942462125483809,0.10861195508928369,0.1583532195870821,Draft Final
41,0.8497691,0.0993591,0.031641,0.019230800000000003,1996
41,0.8198203999999989,0.13251290000000082,0.03324360000000061,0.014423100000000555,Draft Final
42,0.8831350500000003,0.11686494999999988,0.0,0.0,Draft Final
42,0.8898917999999998,0.1101082,0.0,0.0,1996
43,0.47750000000000004,0.44,0.0,0.0825,Draft Final
43,0.495,0.42,0.0,0.085,1996
44,0.3378275,0.47320740000000006,0.1484823,0.0404828,1996
44,0.2989791698714677,0.513356908628022,0.14704104162383153,0.04062287987667883,Draft Final
45,0.1934388,0.37774090000000005,0.39288919999999994,0.0359311,1996
45,0.14767619999999998,0.40192074999999994,0.39648634999999993,0.053916699999999956,Draft Final
46,0.8880258485812845,0.07153012683150475,0.0038787286373294615,0.03656529594988163,Draft Final
46,0.8088311000000001,0.11903970000000001,0.0373726,0.034756600000000006,1996
47,0.5364277999999998,0.2844691000000001,0.1672938000000001,0.011809300000000128,Draft Final
47,0.5690102,0.2673506,0.1533299,0.010309299999999999,1996
48,0.27692459999999997,0.4783251,0.19196649999999998,0.052783800000000006,1996
48,0.2604619546223421,0.47032753114945947,0.21358404013332502,0.05562647409487327,Draft Final
49,0.8944097500000007,0.0774459499999997,0.022889749999999764,0.00525454999999994,Draft Final
49,0.904923,0.06580659999999999,0.022513600000000005,0.0067568,1996
50,0.617841,0.222191372,0.05377584900000001,0.10619177699999999,1996
50,0.7204155106544669,0.15912451466333563,0.032562707965567574,0.08789726671663009,Draft Final
51,0.19643188729515265,0.742045636783458,0.03079863388451375,0.03072384203687545,Draft Final
51,0.13126306000000001,0.81295841,0.04729148,0.008487051,1996
52,0.9387763586892861,0.0380136128497117,0.014862219353916864,0.00834780910708548,Draft Final
52,0.823498596,0.10914309200000001,0.064677386,0.002680925,1996
53,0.5518243879997561,0.22874100895871152,0.20144505115547606,0.017989551886056294,Draft Final
53,0.505331525,0.24201665600000002,0.252651821,0.0,1996
54,0.25708729353145465,0.5655719785953813,0.15774214486850077,0.019598583004663262,Draft Final
54,0.166237473,0.46770844599999994,0.265759058,0.100295021,1996
55,0.14491790100000002,0.28680653300000003,0.440365039,0.127910526,1996
55,0.20393363461772823,0.28725712446298907,0.46197645785471864,0.04683278306456409,Draft Final
56,0.8199345223063569,0.10131094030476524,0.03559380444940234,0.04316073293947514,Draft Final
56,0.669243148,0.206343692,0.05296189899999999,0.071451262,1996
57,0.10280379999999999,0.8624859000000001,0.0347103,0.0,1996
57,0.1004673499999999,0.8554765499999997,0.044056100000000445,4.3107878378023597e-16,Draft Final
58,0.186296605,0.402826386,0.29810052099999995,0.11277648700000001,1996
58,0.28319382054253944,0.4260746712593369,0.24688027566081294,0.043851232537311005,Draft Final
59,0.7983536257932885,0.09871061820477074,0.009296745725781033,0.0936390102761596,Draft Final
59,0.6978620409999998,0.191751855,0.04565915400000001,0.06472694799999999,1996
60,0.2823478,0.7176522,0.0,0.0,1996
60,0.23886955000000007,0.7611304500000001,0.0,0.0,Draft Final
61,0.9409907956666465,0.0569302573706949,0.0,0.0020789469626587296,Draft Final
61,0.9366076,0.06339239999999999,0.0,0.0,1996
62,0.6750001,0.2436666,0.0813333,0.0,1996
62,0.61666675,0.30149995000000007,0.08183330000000003,2.42861286636753e-17,Draft Final
63,0.30974660000000004,0.5093341000000001,0.1470329,0.0338864,1996
63,0.29159834999999995,0.5215527,0.15062269999999994,0.03622624999999997,Draft Final
64,0.17577070439600903,0.41734953242496275,0.3742085329558865,0.032671230223142056,Draft Final
64,0.18304020000000001,0.4365869,0.33993510000000005,0.040437799999999996,1996
65,0.2436667,0.467,0.2186666,0.0706667,1996
65,0.23781514685403604,0.40873951947461384,0.28689071070404554,0.06655462296730459,Draft Final
66,0.47748212199999995,0.35787179799999996,0.068812611,0.095833472,1996
66,0.43947421783882873,0.39150246480196366,0.07101472728349495,0.09800859007571236,Draft Final
67,0.09909420000000001,0.15431919999999996,0.14966610000000002,0.5969205,1996
67,0.10244398136075462,0.15467718773045047,0.14173433169085647,0.6011444992179386,Draft Final
68,0.240809,0.26279659999999994,0.13678089999999998,0.3596135,1996
68,0.23666555091900432,0.2734356349967894,0.13452936523875772,0.35536944884544924,Draft Final
69,0.16870295,0.3106461499999999,0.13000515,0.3906457499999999,Draft Final
69,0.1691775,0.3048345,0.1263681,0.3996198999999999,1996
70,0.35621289866386224,0.3750460175484248,0.11813359219078709,0.15060749159692588,Draft Final
